phase,metal,config,stoich,exclude,z,T1,spec,sigt,sigt_1sm,sigt_1sp,sigt_10,sigt_20,sigt_80,sigt_90
bdp,Na,symm_1,symm,1,z_all,600,"(0, 1000, 80000, 20000)",526.0341,-4.568633,1167.454,-67.74008,25.52935,993.4648,1626.283
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 1000, 80000, 20000)",384.9107,18.88876,801.721,-33.33527,50.76836,731.1467,879.4514
bdp,K,unsym_0,unsym,0,z_all,230,"(0, 1000, 80000, 20000)",9.892165,0.6121876,20.13621,0.05261951,0.707483,16.78671,28.69754
bdp,K,unsym_0,unsym,0,z_all,300,"(0, 1000, 80000, 20000)",22.94592,3.795933,43.44809,0.8132481,4.824674,37.67206,49.76872
bdp,K,unsym_0,unsym,0,z_all,473,"(0, 1000, 80000, 20000)",383.4464,37.19663,734.2921,16.93197,55.45162,648.7188,969.9903
bdp,K,unsym_0,unsym,0,z_all,600,"(0, 1000, 80000, 20000)",852.9475,111.7136,2221.201,39.38605,138.3545,1195.379,2654.467
bdp,K,symm_1,symm,1,z_all,300,"(0, 100, 8000, 2000)",55.88208,6.04035,101.6915,0.0770589,8.978293,87.39785,133.2599
bdp,K,symm_1,symm,1,z_all,600,"(0, 100, 8000, 2000)",534.7045,259.9831,765.8824,226.2369,276.0758,714.3463,1120.971
bdp,Ag,unsym_0,unsym,0,z_all,300,"(0, 100, 8000, 2000)",2.345439,0.217172,4.507532,0.03893648,0.3735115,4.188337,4.802668
bdp,Ag,unsym_0,unsym,0,z_all,600,"(0, 100, 8000, 2000)",153.4044,8.216345,289.6185,-11.6638,26.3195,238.7432,385.6676
bdp,Na,symm_1,symm,1,z_all,230,"(0, 1000, 90000, 10000)",20.10116,3.086832,34.87674,1.904098,4.718165,28.9016,49.42636
bdp,Na,symm_1,symm,1,z_all,300,"(0, 1000, 90000, 10000)",133.3507,29.00241,235.1941,18.03184,34.53929,218.0321,339.3721
bdp,Na,symm_1,symm,1,z_all,600,"(0, 1000, 90000, 10000)",743.1189,128.6099,1428.237,27.08951,161.8072,1206.482,1725.543
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 1000, 90000, 10000)",0.7667183,0.03612395,1.061476,0.003210974,0.07987359,0.9892679,1.483527
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 1000, 90000, 10000)",12.02628,2.376334,20.54605,0.8312919,3.75473,19.53212,24.19671
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 1000, 90000, 10000)",556.7307,156.5082,895.6066,108.6838,180.9008,825.4394,1071.558
bdp,Na,unsym_0,unsym,0,z_all,230,"(0, 2500, 97500, 2500)",0.5223277,0.01349147,1.023715,-0.001405264,0.01809646,0.937712,1.221121
bdp,Na,unsym_0,unsym,0,z_all,300,"(0, 2500, 97500, 2500)",9.357488,0.9878867,14.66148,0.3879052,1.327894,13.81319,19.63891
bdp,Na,unsym_0,unsym,0,z_all,473,"(0, 2500, 97500, 2500)",359.5,79.05568,557.2995,42.48396,92.97188,483.0468,794.2296
bdp,Na,unsym_0,unsym,0,z_all,600,"(0, 2500, 97500, 2500)",600.7553,64.02081,1209.005,55.78422,112.0922,1073.349,1317.229
bdp,Na,symm_1,symm,1,z_all,230,"(0, 2500, 97500, 2500)",18.42561,2.573836,29.16012,0.7580546,3.070684,26.62367,34.49715
bdp,Na,symm_1,symm,1,z_all,300,"(0, 2500, 97500, 2500)",92.47687,6.550353,153.1033,0.3961281,10.60554,146.9472,214.9833
bdp,Na,symm_1,symm,1,z_all,473,"(0, 2500, 97500, 2500)",405.5251,80.61967,561.1741,23.21517,118.3828,532.1577,906.457
bdp,Na,symm_1,symm,1,z_all,600,"(0, 2500, 97500, 2500)",761.058,106.4625,1475.704,35.09499,111.7704,1384.118,1585.944
bdp,K,unsym_0,unsym,0,z_all,230,"(0, 2500, 97500, 2500)",6.737564,0.3484157,9.116298,-0.6606815,0.4625258,8.731378,13.08156
bdp,K,unsym_0,unsym,0,z_all,300,"(0, 2500, 97500, 2500)",35.51396,-0.01544338,66.52502,-1.093459,1.611096,61.91138,86.99437
bdp,K,unsym_0,unsym,0,z_all,473,"(0, 2500, 97500, 2500)",322.6624,44.83343,531.4482,35.86577,47.10903,425.4025,940.1938
bdp,K,unsym_0,unsym,0,z_all,600,"(0, 2500, 97500, 2500)",557.2204,70.35294,1041.408,43.14174,102.3881,893.6044,1448.803
bdp,K,symm_1,symm,1,z_all,300,"(0, 2500, 97500, 2500)",30.41339,20.64722,39.98523,18.28787,22.28677,39.38494,40.84906
bdp,K,symm_1,symm,1,z_all,600,"(0, 2500, 97500, 2500)",432.0931,246.8085,617.3294,234.5282,255.3423,609.0539,629.238
