time,r2,r4,a2
53.625,1.487266,19.56527,4.307132
54.675,1.508749,19.90111,4.245591
55.75,1.529368,20.56651,4.275794
56.85,1.548248,20.97338,4.249751
57.95,1.569059,21.38386,4.211454
59.1,1.587294,21.84501,4.20222
60.275,1.611725,22.53458,4.204975
61.45,1.63081,23.03484,4.196724
62.65,1.657204,23.64139,4.165028
63.9,1.681861,24.2717,4.148391
65.15,1.705763,24.95822,4.146684
66.425,1.725236,25.3494,4.110013
67.725,1.755897,26.17575,4.09392
69.075,1.779051,26.71489,4.0644
70.425,1.801559,27.41618,4.068288
71.825,1.82954,28.17309,4.050124
73.225,1.859427,28.99483,4.031687
74.675,1.888243,29.7893,4.01298
76.125,1.916877,30.5675,3.991405
77.625,1.941844,31.50896,4.013682
79.15,1.964166,31.97719,3.973192
80.725,1.989752,32.74502,3.962477
82.3,2.020166,33.50475,3.925875
83.925,2.050317,34.357,3.903706
85.575,2.080582,35.20092,3.879056
87.25,2.112821,36.30303,3.879428
88.975,2.14227,37.01847,3.839732
90.725,2.180059,38.27894,3.832532
92.5,2.206982,39.12411,3.819456
94.325,2.241334,40.19143,3.800336
96.175,2.278049,41.19338,3.762693
98.075,2.311775,42.25161,3.743547
100,2.33974,43.05862,3.719286
101.975,2.369907,43.98413,3.698774
103.975,2.406058,45.15304,3.679785
106.025,2.438302,45.98741,3.64104
108.1,2.483268,47.48378,3.620078
110.25,2.52399,48.84526,3.600428
112.4,2.561845,50.27469,3.596159
114.625,2.605368,51.70324,3.570155
116.875,2.643285,52.96104,3.547994
119.175,2.689418,54.40487,3.513073
121.525,2.73835,55.96885,3.478368
123.9,2.778639,57.38229,3.459282
126.35,2.82319,59.06554,3.446365
128.825,2.863252,60.55269,3.431653
131.375,2.903985,62.05955,3.41541
133.95,2.955018,63.86352,3.388174
136.575,2.997623,65.35659,3.36402
139.275,3.052264,67.17479,3.326269
142,3.0988,68.89003,3.304478
144.8,3.154345,71.08637,3.286662
147.65,3.209626,73.40296,3.275196
150.55,3.256086,75.27437,3.25997
153.525,3.307098,77.2282,3.236752
156.55,3.364851,79.35474,3.205256
159.625,3.41265,81.5546,3.201616
162.75,3.465354,83.79036,3.18649
165.95,3.52858,86.18764,3.153328
169.225,3.590984,88.80953,3.132225
172.55,3.631252,90.22043,3.105287
175.95,3.684892,92.36863,3.08156
179.4,3.749355,94.98488,3.054082
182.95,3.814486,98.02561,3.042208
186.55,3.877124,100.7187,3.020146
190.2,3.943893,103.0551,2.975308
193.95,4.011076,106.2948,2.964069
197.775,4.072223,109.0278,2.944803
201.65,4.140184,111.9482,2.918583
205.625,4.214984,115.3801,2.89664
209.675,4.282868,118.2989,2.869568
213.8,4.361897,122.0636,2.849342
218,4.431501,125.4362,2.832414
222.3,4.504026,128.7999,2.809474
226.65,4.585371,132.7916,2.789421
231.125,4.657934,136.5981,2.777542
235.675,4.72927,140.0394,2.756761
240.3,4.810649,144.0602,2.734976
245.025,4.875045,147.1441,2.714811
249.85,4.964296,151.4708,2.687778
254.775,5.055865,156.1074,2.664239
259.775,5.13495,160.32,2.648099
264.9,5.227376,165.0928,2.625032
270.1,5.315498,170.4369,2.619318
275.425,5.404526,175.1015,2.596879
280.825,5.492978,179.4371,2.568189
286.35,5.595976,185.5828,2.555799
292,5.688829,190.6,2.533689
