time,r2,r4,a2
45.875,1.315856,16.15638,4.598589
46.775,1.327948,16.41282,4.584345
47.7,1.350344,16.81837,4.534093
48.65,1.369643,17.21816,4.507105
49.6,1.385853,17.64628,4.51277
50.575,1.404766,18.02613,4.480823
51.575,1.423462,18.42987,4.457352
52.575,1.445755,18.91213,4.42878
53.625,1.466485,19.50838,4.442738
54.675,1.487821,19.83887,4.377332
55.75,1.508373,20.50111,4.40644
56.85,1.527402,20.90634,4.376785
57.95,1.547968,21.31552,4.337322
59.1,1.566412,21.77956,4.32584
60.275,1.590832,22.47356,4.328122
61.45,1.61005,22.96958,4.316499
62.65,1.636416,23.57705,4.282669
63.9,1.660653,24.19903,4.264913
65.15,1.684876,24.89326,4.26135
66.425,1.703968,25.27762,4.223537
67.725,1.734874,26.10102,4.203227
69.075,1.757772,26.62881,4.171039
70.425,1.780494,27.3387,4.174258
71.825,1.808682,28.09825,4.153547
73.225,1.838817,28.92236,4.132251
74.675,1.86758,29.72145,4.112849
76.125,1.895918,30.48666,4.088878
77.625,1.920797,31.42182,4.109986
79.15,1.943093,31.88918,4.067657
80.725,1.969038,32.66622,4.055243
82.3,1.999457,33.42256,4.016109
83.925,2.029738,34.28176,3.992688
85.575,2.060005,35.13822,3.968145
87.25,2.092244,36.242,3.967509
88.975,2.121705,36.93798,3.92328
90.725,2.159434,38.19945,3.915054
92.5,2.186415,39.0478,3.900979
94.325,2.221215,40.12827,3.880009
96.175,2.257862,41.13186,3.840995
98.075,2.291581,42.19067,3.820555
100,2.319338,42.99816,3.795931
101.975,2.349741,43.92528,3.773378
103.975,2.38612,45.09736,3.752453
106.025,2.418561,45.94257,3.712512
108.1,2.463615,47.4341,3.689172
110.25,2.504289,48.78447,3.66728
112.4,2.541916,50.21898,3.663337
114.625,2.586002,51.65009,3.634092
116.875,2.624107,52.91798,3.61096
119.175,2.669953,54.35183,3.574655
121.525,2.719135,55.92862,3.538621
123.9,2.759785,57.3666,3.519182
126.35,2.804195,59.02597,3.503788
128.825,2.844338,60.52231,3.488533
131.375,2.884962,62.0118,3.470391
133.95,2.935929,63.81954,3.44236
136.575,2.978333,65.30628,3.417329
139.275,3.033171,67.13464,3.378285
142,3.079711,68.87446,3.35702
144.8,3.135704,71.08002,3.337393
147.65,3.190615,73.3807,3.324983
150.55,3.237541,75.29141,3.30989
153.525,3.288202,77.22337,3.285318
156.55,3.346476,79.39621,3.253785
159.625,3.394109,81.57614,3.248765
162.75,3.447297,83.81857,3.231888
165.95,3.511027,86.25614,3.198294
169.225,3.572951,88.85423,3.176141
172.55,3.613305,90.26153,3.148057
175.95,3.667132,92.41514,3.123265
179.4,3.731825,95.04827,3.094991
182.95,3.796943,98.07813,3.081834
186.55,3.85978,100.7823,3.058918
190.2,3.926636,103.1288,3.01319
193.95,3.994386,106.3981,3.001153
197.775,4.055685,109.1286,2.980716
201.65,4.123542,112.0469,2.953761
205.625,4.198059,115.4579,2.930773
209.675,4.266141,118.3874,2.902892
213.8,4.345733,122.1664,2.881299
218,4.414943,125.5245,2.863932
222.3,4.48748,128.8864,2.840196
226.65,4.569093,132.9041,2.819704
231.125,4.641812,136.6979,2.806606
235.675,4.713848,140.1811,2.785205
240.3,4.794889,144.1465,2.761822
245.025,4.859584,147.2769,2.741862
249.85,4.948803,151.652,2.715345
254.775,5.040604,156.2926,2.690833
259.775,5.119438,160.5046,2.674464
264.9,5.212356,165.2575,2.649593
270.1,5.301123,170.7113,2.644835
275.425,5.389302,175.3074,2.621483
280.825,5.477945,179.6184,2.591424
286.35,5.580939,185.7357,2.577932
292,5.674063,190.8155,2.556122
297.725,5.764501,196.0152,2.539301
303.6,5.868807,201.9357,2.517747
309.575,5.961535,207.4159,2.501686
315.65,6.046715,212.0964,2.480531
321.85,6.153982,218.2576,2.457867
328.2,6.264578,225.2135,2.443198
334.65,6.373393,231.4553,2.418826
341.225,6.480513,238.1601,2.402526
347.95,6.587494,244.7577,2.384132
354.8,6.703943,252.108,2.365714
361.775,6.818508,259.3245,2.346695
368.9,6.943174,268.0951,2.336753
376.15,7.059587,275.8182,2.320592
383.55,7.164997,283.1537,2.309341
391.1,7.289074,290.885,2.284943
398.775,7.417202,299.5032,2.266424
406.625,7.558503,309.5992,2.251468
414.625,7.681947,317.793,2.231119
422.775,7.819547,327.3843,2.21252
431.1,7.956347,338.0184,2.20379
439.575,8.101807,348.9697,2.189886
448.225,8.238473,359.6176,2.179061
457.05,8.362406,367.8323,2.156012
466.05,8.523893,379.9074,2.137279
475.2,8.676071,391.2908,2.118923
484.55,8.826559,403.3051,2.106005
494.075,8.97748,414.4797,2.085643
503.8,9.131634,427.7597,2.077898
513.725,9.302879,442.027,2.06454
523.825,9.439667,454.2357,2.058575
534.125,9.604732,466.7212,2.035556
544.625,9.787102,482.3359,2.021291
555.35,9.959046,497.1536,2.007506
566.275,10.13632,511.8203,1.988876
577.425,10.30797,528.2859,1.983145
588.775,10.47852,545.061,1.97849
600.35,10.65642,560.145,1.959574
612.175,10.85907,579.729,1.949791
624.2,11.05161,596.9893,1.932695
636.5,11.25121,616.008,1.919706
649,11.44463,634.9058,1.908417
661.775,11.61916,653.25,1.903229
674.8,11.83891,673.5758,1.883463
688.075,12.05561,694.7189,1.868017
701.6,12.27982,717.413,1.854545
715.4,12.49734,741.1325,1.847159
729.475,12.70901,763.5521,1.836394
743.825,12.92797,786.1607,1.822292
758.475,13.1682,812.654,1.811927
773.4,13.41689,838.7006,1.795467
788.6,13.65097,866.1138,1.788682
804.125,13.86869,891.0501,1.779602
819.925,14.12442,919.262,1.764709
836.075,14.3868,948.0605,1.748266
852.5,14.65937,980.7214,1.738207
869.275,14.90597,1009.627,1.726412
886.375,15.16311,1040.066,1.71416
903.825,15.45288,1076.676,1.705311
921.6,15.74456,1112.423,1.692527
939.725,15.99385,1143.203,1.681443
958.225,16.28155,1180.693,1.672372
977.075,16.58385,1218.715,1.658781
996.3,16.8997,1261.327,1.649848
1015.9,17.14986,1295.677,1.643181
1035.875,17.49455,1342.507,1.631857
1056.25,17.81641,1386.419,1.620627
1077.025,18.12463,1429.955,1.611774
1098.225,18.44029,1475.32,1.603165
1119.825,18.78301,1522.146,1.588672
1141.85,19.13307,1576.007,1.583091
1164.325,19.4416,1619.992,1.57158
1187.225,19.82034,1680.019,1.565921
1210.575,20.18026,1736.26,1.558071
1234.4,20.51684,1786.068,1.545824
1258.675,20.92661,1854.671,1.541093
1283.425,21.31584,1917.887,1.532616
1308.675,21.67016,1973.187,1.521131
1334.425,22.0785,2043.308,1.515046
1360.675,22.44562,2105.354,1.507339
1387.45,22.86976,2178.13,1.498687
1414.75,23.30595,2259.142,1.49552
1442.575,23.69517,2326.399,1.486083
1470.95,24.14744,2410.104,1.479961
1499.875,24.57946,2489.537,1.472438
1529.4,25.02854,2574.758,1.466133
1559.475,25.49939,2665.442,1.459579
1590.15,25.94285,2749.916,1.45152
1621.45,26.42958,2846.78,1.445258
1653.35,26.87605,2933.317,1.436573
1685.875,27.40417,3040.767,1.429412
1719.025,27.86092,3131.708,1.420704
1752.85,28.41274,3248.12,1.41411
1787.325,28.88605,3353.004,1.411065
1822.5,29.45345,3472.594,1.401779
1858.35,29.9565,3581.267,1.39445
1894.9,30.54177,3711.317,1.387211
1932.175,31.04515,3819.627,1.377852
1970.175,31.65613,3961.988,1.372187
2008.95,32.20768,4086.851,1.363856
2048.475,32.78535,4226.233,1.359093
2088.775,33.37445,4360.413,1.348824
2129.85,33.9607,4503.163,1.342694
2171.75,34.59429,4656.938,1.334764
2214.475,35.19188,4799.992,1.325449
2258.05,35.86148,4975.106,1.321117
2302.45,36.50299,5140.465,1.31471
2347.75,37.13106,5303.494,1.308015
2393.95,37.83034,5495.463,1.30396
2441.025,38.49902,5674.829,1.297231
2489.05,39.17721,5857.806,1.289915
2538.025,39.9419,6076.676,1.285388
2587.95,40.65557,6276.675,1.278457
2638.85,41.39615,6487.218,1.27138
2690.775,42.13014,6709.652,1.268117
2743.7,42.92673,6948.597,1.262522
2797.675,43.70234,7182.809,1.256504
2852.725,44.48378,7421.45,1.25028
2908.85,45.26168,7672.128,1.247014
2966.05,46.11226,7943.924,1.241577
3024.4,46.96764,8222.971,1.23657
3083.9,47.81139,8499.266,1.230848
3144.575,48.69519,8799.691,1.226622
3206.425,49.56936,9100.673,1.222277
3269.525,50.47223,9407.323,1.215707
3333.825,51.37264,9727.189,1.211438
3399.425,52.31129,10067.86,1.207483
3466.3,53.2659,10416.11,1.202714
3534.475,54.24935,10782.67,1.198307
3604.025,55.25842,11160.87,1.19307
3674.925,56.30093,11561.15,1.188372
3747.2,57.3389,11954.94,1.181725
3820.925,58.42673,12377.55,1.175519
3896.1,59.54231,12822.46,1.170058
3972.725,60.68724,13298.37,1.166481
4050.9,61.83359,13772.39,1.161283
4130.575,63.00825,14261.74,1.155405
4211.825,64.23803,14803.13,1.152387
4294.7,65.45355,15330.37,1.147027
4379.175,66.65204,15871.95,1.143654
4465.325,67.92278,16440.51,1.138138
4553.175,69.22378,17048.17,1.134609
4642.75,70.5431,17670.39,1.130533
4734.075,71.86682,18276.07,1.123132
4827.2,73.27688,18965.19,1.119212
4922.175,74.66839,19662.72,1.116028
5019,76.06376,20370.1,1.112462
5117.725,77.54178,21135.63,1.109089
5218.4,78.95077,21877.82,1.105923
5321.075,80.46534,22660.04,1.099879
5425.75,81.9563,23466.31,1.096193
5532.475,83.54784,24324.85,1.090889
5641.325,85.06722,25148.15,1.085128
5752.3,86.73164,26065.23,1.079016
5865.45,88.33663,26959.65,1.072926
5980.85,89.95691,27890.42,1.067937
6098.5,91.71725,28925.58,1.063152
6218.475,93.4105,29933.78,1.058361
6340.8,95.1623,30983.22,1.052806
6465.55,96.96144,32098.01,1.048478
6592.725,98.75476,33196.59,1.042343
6722.425,100.6102,34343.21,1.035672
6854.675,102.5073,35560.66,1.030541
6989.525,104.3936,36763.51,1.024048
7127.025,106.3428,38053.87,1.018989
7267.225,108.3387,39363.8,1.012246
7410.2,110.3883,40722.87,1.005136
7555.975,112.488,42169.48,0.9995716
7704.6,114.604,43626.39,0.99297
